,Gachibowli / Miyapur Rd,Botanical Garden Rd,Gachibowli Rd/Old Mumbai Hwy,Bhagyanagar Colony Main Rd and Kukatpally Housing Board / Hitech City Rd,DLF Rd and Mindspace Rd,Gachibowli Rd/Old Mumbai Hwy and Hitech City Main Rd,Inorbit Mall Rd,Hitech City Main Rd,Biodiversity Flyover / I and Hitech City Main Rd,Nehru Outer Ring Rd,Khajaguda / Nanakramguda Rd,Hitech City Rd and Hitech City Main Rd,Kukatpally Housing Board / Hitech City Rd,100 Feet Rd and Hitech City Rd,Hitex Road,Botanical Garden Rd and Gachibowli / Miyapur Rd,Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and Gachibowli / Miyapur Rd,Bhagyanagar Colony Main Rd,DLF Rd and Gachibowli / Miyapur Rd,Madhapur Rd,Hitech City Rd and Hitex Road,Hitech City Rd,Kukatpally Housing Board Rd,Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and DLF Rd,DLF Rd,Gachibowli Rd/Old Mumbai Hwy and Gachibowli / Miyapur Rd,Madhapur Rd and Hitech City Rd,Mindspace Rd,Khajaguda / Nanakramguda Rd and Nehru Outer Ring Rd,Hitech City Rd and Gachibowli / Miyapur Rd,Hitex Road and Hitech City Rd,Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd,Bhagyanagar Colony Main Rd and Hitech City Main Rd,Madhapur Rd and 100 Feet Rd,Gachibowli / Miyapur Rd and Hitech City Rd,Kukatpally Housing Board Rd and Hitech City Main Rd,Durgam Cheruvu Rd-Inorbit Mall Rd and Hitech City Rd,Dell Bus Stop,Kothaguda X Road,Platina Bus Stop,Winvest Technology
Khajaguda / Nanakramguda Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Hitech City Rd and Hitech City Main Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kukatpally Housing Board / Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100 Feet Rd and Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Hitex Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Botanical Garden Rd and Gachibowli / Miyapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and Gachibowli / Miyapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bhagyanagar Colony Main Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DLF Rd and Gachibowli / Miyapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Madhapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hitech City Rd and Hitex Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Kukatpally Housing Board Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd and DLF Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DLF Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Gachibowli Rd/Old Mumbai Hwy and Gachibowli / Miyapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Madhapur Rd and Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mindspace Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Khajaguda / Nanakramguda Rd and Nehru Outer Ring Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hitech City Rd and Gachibowli / Miyapur Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hitex Road and Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gachibowli Rd/Old Mumbai Hwy/Professor CR Rao Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bhagyanagar Colony Main Rd and Hitech City Main Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Madhapur Rd and 100 Feet Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gachibowli / Miyapur Rd and Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kukatpally Housing Board Rd and Hitech City Main Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Durgam Cheruvu Rd-Inorbit Mall Rd and Hitech City Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dell Bus Stop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kothaguda X Road,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platina Bus Stop,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Winvest Technology,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
